Article Title,Comment
" Article Title: غوميز: الزمالك يستحق ""كأس الكاف""",السلام عليكم لم ارغب ان اعلق على المباراة وكواليس ها بصراحة نحن المغاربة يجب علينا تغيير كل تعامل مع هؤلاء الفرق من مصر والجزاءر وتونس وكذلك ليبيا لانهم وبكل صراحة لا يستحقون تقديم قارورة ماء لانهم يعاملون معاملة جد سيءة جد منحطة هذا من جهة منجهة اخرى امس المصريين عاملوا بركان بكل وقاحة وحرمان الفريق من ضربة جزاء بتواطؤ من المخرج وغرفة الفار خلاصة القولة الكاف لازال الفساد يعشش داخلها هذا لا ينسينا ضعف البطولة المغربية
 Article Title: دياز يواصل  صناعة الأهداف مع الريال,دياز إذا أراد أن يلعب أساسيا و يطور من مستواه فعليه بفريق ارسنال مكانه مضمون هناك و حتى طريقة لعبه الهجومية توافق فلسفة ارتيتا و سيساعد الجانرز كثيرا العام المقبل لمحاولة إحراز البريميير ليغ .. إذا بقي في الريال فلن يلعب أساسيا العام المقبل خصوصا ان تشكيلة الريال تعج بالمهاجمين من الافضل له ان يفكر في الرجوع للدوري الانجليزي رغم صعوبته لكن سيتطور كثيرا هناك !
 Article Title: دياز يواصل  صناعة الأهداف مع الريال,انه لاعب مهاري من طينة نادرة في عالم كرة القدم يجب أن تعطاه قيمته الحقيقية بين صفوف تشكيل المنتخب باسناد له دور محوري في الوسط و الهجوم
 Article Title: دياز يواصل  صناعة الأهداف مع الريال,صحيح يجب عليه ان يجد فريق اخر ليكون لاعب أساسيمع ان مكانه موجود في ريال مدريد لكن صعب.
 Article Title: وكالات الأسفار تضع آخر اللمسات على استعدادات موسم الحج في المغرب,شحال وصل ثمن الحج هاد العام 6 ولا 7 المليونحنا أغلى دولة إسلامية من حيث اثمنة أداء مناسك الحج ماعرفتش علاش ….نكون لاباس علينا مثلا
" Article Title: ""فوربس"" تختار برقاد ضمن القادة الأكثر تأثيرا في صناعة السياحة",أمنيتي هي وجود مراحيض عمومية لمدة 24 ساعة في الشواطئ
" Article Title: ""فوربس"" تختار برقاد ضمن القادة الأكثر تأثيرا في صناعة السياحة",واين تجد الجارة الشرقية من التصنيف في شمال افريقيا في مجال السياحة وما هو سبب تاخرها في هادا التصنيفات الدولية من السياحة مجرد سؤال
 Article Title: السكوري ينوه بأداء التكوين المهني,التكوين المهني كاين لكن التشغيل مكاينش ، كائن باك صاحبي وصاني عليك بزاف وهذه هي مشكلتنا في هذه البلاد العزيزة علينا ..
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",المعاملة و الأثمنة المناسبة و المعقول و عدم استحمار الزبون هو الاساس .بالصحة و العافية
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",كان من الاجدر منح هذه الشركة ترخيصا وخطوطا جوية في اتجاه الاقاليم الجنوبية في الصحراء المغربية حتى يتمكن اهل الشمال واهل الوسط المملكة من زيارة مدن هذه الاقاليم العزيزة علينا
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",فهم تصطى كيف يعقل التذكرة بخمسين يورو للمغرب و يحققون الأرباح مقابل تذكرة باضعاف مضاعفة عند بني جلدتنا لارام التي تطلب المساعدة من الدولة لتجنب الإفلاس
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",وفي نفس السياق شركة لارام المغربية التي تبيع تذاكرها بعشرة أضعاف او اكثر، على سبيل المثال تذكرة جنيف الدار البيضاء ب 700 فرنك سويسري او ايضا تذكرة نواكشوط الدار البيضاء ب 6000 درهم، مع ذلك لارام ليس لديها ارباح.
" Article Title: ""رايان إير"" تؤكد تحقيق أرباح قياسية",الفرق شاسع بين ريان اير ولارام في الاثمنة لأن اثمنة تذاكر لارام ليست في المستطاع حتى للغني فما بالك بالفقير اما ريان اير أثمن في المستوى بل حتى بعض الرحلات رخيصة جدا جدا بثمن 300 درهم ذهاب واياب .عندما يكون العامل نزيه تكون حساباته مضبوطة ولا تحتاج الشركة لمساعدة الدولة ….!
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",الله اعز ايام زمان فاش كان حزب الاستقلال آنذاك حزبا له مبادء في عهد الملك الحسن الثاني رحمه الله،كانت المعيشة و الحياة لها قيمة و معنى وكانت المواد الاساسية متوفرة،اما الآن جاء اخناتوش كلا البلاد هو و تريكتوا او زايدينها بانهم حكومة تسعى لارضاء المواطن،هههه و لكن كما يقال “اذا اولية الامور لغير اهلها فانتظر الساعة”
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",الله يرحم الوالدين لي فهم شي حاجة في هاد الاجتماع عوض ما يتكلمو على الزيادة في البوطة ، تكلمو على توفير الغاز المواطنين عطاكم الله باش ضحكو على شعب
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",البوطة الكبيرة أصبحت ب 53 درهم مكان 40 درهم يعني تزادت 13 درهم
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",خرجوا على البلاد مشات هادا هو قتل المواطن ببطء او بنفس باردة خلاصة
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",يجب أن يتحرك الشعب لوقف هذا الهجوم على قدرته الشرائية المتدهورة أصلا. هل هذه هي الدولة الاجتماعية التي يتبجحون بها.
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",كفى من الضحك على الدقون.حسبنا الله ونعم الوكيل فيكم.و عند ربكم تختصمون. و كفى بالله العلي العظيم شهيدا.
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",سمعا و طاعة سيدنا صندوق النقذ الدولي. نحن ملتزمون معك و مستعدون لفعل أي شيء من أجل إرضائك و تنزيل تعليماتك بما فيها إفقار ما تبقى من الطبقة المتوسطة.نحن مستعدون للقضاء على دخلهم و القطاعات الاجتماعية و إثقال كاهلهم بالضرائب و بإغراقهم في الزيادات في الأسعار. فلتنم مرتاح البال سيدي صندوق النقذ الدولي.اللهم إن هذا لمنكر كبير.
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",عندما كانت هناك أحزاب ونقابات وطنية لم تكن الحكومة تجرىء من الاقتراب من القدرة الشرائية للمواطن المغربي أما الآن فالساحة خالية لهم ليقوموا بما يحلوا لهم خدمة لمصالح شخصية وهذا يعني أن الشعب المغربي أصبح يتيما لا أحد الآن يدافع عنه أخشى على وطني ومستقبله من هؤلاء الموجودون حاليا
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",أتمنى أن تكون الزيادة في أسعار غاز البوتان ب 10 دراهم ، سببا رئيسيا في توقف الطبقات الفقيرة والمتوسطة عن الإنجاب وتفريخ الأطفال لأن سبب أغلب المشاكل التي نعيشها ، من جريمة وبطالة و فساد أخلاقي هو العدد الهائل من الولادات في كل دقيقة .
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",اللهم إن هذا لشيء كله مراوغة ،الذي يهلكنا هو غلاء المعيشة وارتفاع الأسعار، أما المواد فهي متوفرة على كل حال والمواطن احدب ظهره واثقل الغلا كهله، فهل من منقذ….
" Article Title: اجتماع تنسيقي ينزل ""تسعيرة البوطا""",بما ان الحكومة رفعت سعر البوطا بنسبة 20٪ سترتفع اسعار الخضر و الفواكه بإثرها بنسبة 20٪ لأن الفلاحة اصبحت تعتمد على البوطا في الآبارتستاهلوا ما كفس
 Article Title: النقل الجوي يزيد بـ30% في المملكة,لكن رغم ذالك تبقى الاسعار جد مرتفعة بين أمريكا الشمالية و المغرب!اغلى من امريكا لأماكن ابعد من المغرب كتركيامثلا.
 Article Title: النقل الجوي يزيد بـ30% في المملكة,يعني في السنة عدد المسافرين في مجموع مطارات المغرب 30 مليون. لما أرى مطار واحد في دول الغرب يصل عدد المسافرين عبره ضعف أو أكثر من 30 مليون. و أفعل مقارنة بين تكلفة هدا المطار بالغرب و عدد الموظفين و العمال به مع المبلغ الإجمالي لتكلفة جميع المطارات بالمغرب و عدد الموظفين و العمال بهم و النتيجة أن المردودية بمطارات المغرب صفر
 Article Title: صندوق الإيداع والتدبير يسند الاستثمار,استثمار للمنديال ولا زيادة للمتقاعدين مع ارتفاع الأسعار.
 Article Title: صندوق الإيداع والتدبير يسند الاستثمار,كل التمنيات بالتوفيق لإنجاح هذه المبادرة التي ستوفر العديد من مناصب الشغل للشباب المغربي
 Article Title: صندوق الإيداع والتدبير يسند الاستثمار,نتمنى لهاته الشراكة الإستراتيجية التوفيق والنجاح فإن CDG الدراع المالي للدولة و AMDIE الدراع الترويجي للدولة ان تعود بالنفع على الاقتصاد الوطني لخلق الثروة و مناصب الشغل لشبابنا العاطل دوي الكفاءات العالية، المغرب يسير في الإتجاه الصحيح و خاصة في مجال الاستثمار فهذا يثلج الصدور ويعطي الأمل الكبير في المستقبل ويعيد ثقة المستثمرين الأجانب في مؤسسات الدولة فهذا ما يوصي به دوماً صاحب الجلالة حفظه الله،
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,هناك بنوك تسرق من أموال الزبناء بحق وبدون حق.اقتطاعات غير مبررة. اختلاسات .
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,للأسف الشديد لم أكن أعرف ماذا أفعل لأن مؤسسة بنكية كنت أتعامل معهم على أساس نقود الضمان الإجتماعي نصبو علي بتفعيل حسابين لمدة ثلاث أو أربع سنوات وفي الأخير أخذو مني ما تبقا من حسابي وفرضو علي اداء رمزي عبارة عن خمسة دراهم زائد ما أخذو مني بدون وجه حق في مدينة مكناس وللإشارة هذه الشركة الكل يشتكي من تعامل موضفيها وكذلك النصب على من يكون فريسة سهلة لهم ربي ياخذ فيهم الحق وبالمقابل أي واحد أعرفه أحذره من التعامل معهم .
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,هادشي سميتو السرقة بالعيلاني و الواعرة كيبقاو ايبيعو ليك اي حاجا داروها جديدة فالبانكا بطاقات تامينات ويقتاطعو ليك و خا لحساب عندك فيه صفر درهم حتا كيوليو ايسالوك هوما ألف درهم و يحسبو عليق الفوائد التاخير و ها هي ولات خمسة آلاف درهم و فالاخير يبقاو ايهددوك بالمحامي ديالهم
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,لصوص بكل ما للكلمة من معنى.. نقطة الى السطر
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,ومع ذالك يهرعون بالليل والنهار لسحب الكاش حتى تصبح عبدا للبنك يتحكم في امولك وتدفع ثمن الخدمة بالقوة على كل عملية بنكية وهم كن يحدد الثمن ويتحكم في رزقك ولا احد يستطيع الوقوف في وجههم .
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,رغم أنني قفلت حسابي البنكي .وبعد مرور الوقت تراكمت علي 1560 درهم . نعم أديتها للبنك ضلما وعدونا .
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,ليست لدينا مواصفات للعمل بمنطق التحرير أو أساليب العولمة . تناقض صارخ بين الخطاب و الممارسة و ما بالكم عن الإحتكار و تضارب المصالح كتمثبلية في حماة المستهلك و ممثل معين في مجلس . مفارقات غائبة لكن غفلة تابى إلا ان تظهرها . عموما تعليقنا وقع سواء ظهر ام حجب قد صدر.
 Article Title: القضاء ينتصر لزبائن بشأن إغلاق حسابات بنكية واستخلاص مبالغ غير مستحقة,و هل يوما دهبنا الي البنك من أجل الاستفسار؟؟ بالطبع لا ثم لا : حاول بنك اتعامل معه بفرض اقتطاعات التأمين، لكن حينما رفضت ، و بسرعة لم يعد هناك الا مستحقات البنك : لابد من تتبع حالتك البنكية، و الحمد لله الامور الان أصبحت سهلة، الا لمن لا يريد الحساب الرقمي مجاني يعطيك كل ما جد في حسابك ، و حينما ترى خللا الاتصال مباشرة او الدهاب الي البنك و ستجد ادانا صاغية : لابد لنا جميعا ان نتحد في كلما يفيد وطننا :مساعدة الرجال النزهاء، لأن لا أحد لا يخطأ ، و نوقف المتلاعبين عند حدهم، ليس ب الشتم و السب ، ابدا لا : الدخول عند الرئيس، و هناك رئيس فوقه، و لكن انا على يقين ان مشكل التواصل هو من يخلق هذه المشاكل
